total number of analysis:290344 
total number of analysis until best:201332 
top-scored iteration: 3470 

Microsoft Windows [Version 10.0.22000.613]
(c) Microsoft Corporation. All rights reserved.

C:\Users\dream\Documents\Research\RL_Construction\20220428>python Train.py
C:\Users\dream\anaconda3\lib\site-packages\torch\nn\init.py:388: UserWarning: Initializing zero-element tensors is a no-op
  warnings.warn("Initializing zero-element tensors is a no-op")
episode 92  : step=35  reward=-126.0 aveQ=-81.66  loss=648.92
episode 93  : step=96  reward=-300.0 aveQ=-217.23 loss=604.14
episode 94  : step=49  reward=-201.0 aveQ=-120.46 loss=595.04
episode 95  : step=96  reward=-195.0 aveQ=-190.64 loss=584.06
episode 96  : step=28  reward=-62.0 aveQ=-57.10  loss=618.38
episode 97  : step=50  reward=-198.0 aveQ=-96.83  loss=607.14
episode 98  : step=48  reward=-66.0 aveQ=-80.07  loss=615.88
episode 99  : step=42  reward=-191.0 aveQ=-88.58  loss=556.58
episode 100 : step=50  reward=-209.0 aveQ=-84.84  loss=593.04
episode 101 : step=28  reward=-39.0 aveQ=-49.50  loss=616.52
episode 102 : step=35  reward=-136.0 aveQ=-52.19  loss=569.44
episode 103 : step=42  reward=-150.0 aveQ=-70.78  loss=646.37
episode 104 : step=35  reward=-133.0 aveQ=-52.40  loss=590.76
episode 105 : step=42  reward=-188.0 aveQ=-79.26  loss=614.83
episode 106 : step=32  reward=-40.0 aveQ=-30.84  loss=626.00
episode 107 : step=28  reward=-62.0 aveQ=-43.38  loss=640.07
episode 108 : step=42  reward=-165.0 aveQ=-61.85  loss=607.61
episode 109 : step=24  reward=-39.0 aveQ=-23.11  loss=616.10
episode 110 : step=28  reward=-39.0 aveQ=-36.07  loss=610.11
episode 111 : step=70  reward=-386.0 aveQ=-121.05 loss=597.33
episode 112 : step=48  reward=-73.0 aveQ=-51.04  loss=615.50
episode 113 : step=50  reward=-233.0 aveQ=-76.93  loss=575.68
episode 114 : step=49  reward=-209.0 aveQ=-65.98  loss=606.52
episode 115 : step=28  reward=-42.0 aveQ=-31.56  loss=646.34
episode 116 : step=50  reward=-238.0 aveQ=-60.32  loss=591.42
episode 117 : step=24  reward=-70.0 aveQ=-14.80  loss=583.22
episode 118 : step=128 reward=-313.0 aveQ=-124.22 loss=647.74
episode 119 : step=49  reward=-192.0 aveQ=-47.74  loss=651.72
episode 120 : step=48  reward=-78.0 aveQ=-21.87  loss=600.11
episode 121 : step=42  reward=-179.0 aveQ=-43.94  loss=588.99
episode 122 : step=32  reward=-53.0 aveQ=-20.58  loss=567.30
episode 123 : step=96  reward=-180.0 aveQ=-60.80  loss=584.34
episode 124 : step=48  reward=-62.0 aveQ=-27.33  loss=599.48
episode 125 : step=35  reward=-138.0 aveQ=-36.26  loss=571.96
episode 126 : step=48  reward=-39.0 aveQ=-16.53  loss=577.99
episode 127 : step=48  reward=-66.0 aveQ=-22.87  loss=567.68
episode 128 : step=24  reward=-45.0 aveQ=-27.66  loss=587.57
episode 129 : step=35  reward=-125.0 aveQ=-26.39  loss=525.83
episode 130 : step=24  reward=-39.0 aveQ=-24.84  loss=538.85
episode 131 : step=50  reward=-194.0 aveQ=-44.51  loss=534.65
episode 132 : step=128 reward=-276.0 aveQ=-92.60  loss=588.25
episode 133 : step=96  reward=-228.0 aveQ=-75.05  loss=540.83
episode 134 : step=35  reward=-135.0 aveQ=-34.49  loss=518.99
episode 135 : step=48  reward=-77.0 aveQ=-31.99  loss=591.48
episode 136 : step=50  reward=-204.0 aveQ=-53.66  loss=551.58
episode 137 : step=72  reward=-121.0 aveQ=-44.41  loss=534.69
episode 138 : step=128 reward=-392.0 aveQ=-111.42 loss=529.84
episode 139 : step=70  reward=-355.0 aveQ=-78.22  loss=498.62
episode 140 : step=35  reward=-118.0 aveQ=-30.48  loss=505.20
episode 141 : step=50  reward=-240.0 aveQ=-80.97  loss=566.98
episode 142 : step=128 reward=-286.0 aveQ=-85.93  loss=540.12
episode 143 : step=60  reward=-298.0 aveQ=-73.58  loss=530.95
episode 144 : step=48  reward=-80.0 aveQ=-19.80  loss=501.90
episode 145 : step=96  reward=-240.0 aveQ=-69.98  loss=503.20
episode 146 : step=96  reward=-202.0 aveQ=-81.98  loss=590.84
episode 147 : step=42  reward=-170.0 aveQ=-44.57  loss=477.95
episode 148 : step=128 reward=-327.0 aveQ=-88.53  loss=509.51
episode 149 : step=128 reward=-264.0 aveQ=-97.38  loss=519.81
episode 150 : step=50  reward=-210.0 aveQ=-50.49  loss=510.88
episode 151 : step=48  reward=-72.0 aveQ=-13.14  loss=493.41
episode 152 : step=64  reward=-79.0 aveQ=-11.25  loss=507.49
episode 153 : step=72  reward=-200.0 aveQ=-37.35  loss=527.54
episode 154 : step=64  reward=-59.0 aveQ=+2.06   loss=565.39
episode 155 : step=48  reward=-74.0 aveQ=-8.68   loss=528.27
episode 156 : step=35  reward=-110.0 aveQ=-51.91  loss=475.14
episode 157 : step=96  reward=-195.0 aveQ=-55.57  loss=518.22
episode 158 : step=28  reward=-49.0 aveQ=-34.86  loss=563.87
episode 159 : step=32  reward=-19.0 aveQ=+13.41  loss=530.23
episode 160 : step=48  reward=-76.0 aveQ=-5.28   loss=607.70
episode 161 : step=96  reward=-215.0 aveQ=-27.55  loss=446.37
episode 162 : step=42  reward=-152.0 aveQ=-56.21  loss=459.30
episode 163 : step=60  reward=-268.0 aveQ=-74.72  loss=571.15
episode 164 : step=42  reward=-158.0 aveQ=-47.38  loss=557.86
episode 165 : step=64  reward=-133.0 aveQ=-20.37  loss=498.09
episode 166 : step=96  reward=-124.0 aveQ=-7.32   loss=539.27
episode 167 : step=96  reward=-215.0 aveQ=-32.48  loss=521.50
episode 168 : step=42  reward=-167.0 aveQ=-39.31  loss=510.86
episode 169 : step=42  reward=-185.0 aveQ=-44.86  loss=504.14
episode 170 : step=96  reward=-222.0 aveQ=+7.72   loss=526.83
episode 171 : step=64  reward=-144.0 aveQ=-4.23   loss=515.95
episode 172 : step=96  reward=-163.0 aveQ=-4.40   loss=550.63
episode 173 : step=42  reward=-189.0 aveQ=-44.11  loss=446.37
episode 174 : step=96  reward=-211.0 aveQ=-19.49  loss=507.99
episode 175 : step=48  reward=-87.0 aveQ=-12.38  loss=444.11
episode 176 : step=60  reward=-271.0 aveQ=-67.96  loss=418.10
episode 177 : step=28  reward=-45.0 aveQ=-39.50  loss=365.34
episode 178 : step=48  reward=-56.0 aveQ=+3.30   loss=394.96
episode 179 : step=70  reward=-336.0 aveQ=-91.51  loss=399.94
episode 180 : step=96  reward=-235.0 aveQ=-28.03  loss=397.22
episode 181 : step=60  reward=-274.0 aveQ=-80.30  loss=422.23
episode 182 : step=20  reward=-39.0 aveQ=-21.55  loss=601.23
episode 183 : step=70  reward=-350.0 aveQ=-86.99  loss=429.55
episode 184 : step=20  reward=-33.0 aveQ=-17.01  loss=394.06
episode 185 : step=35  reward=-108.0 aveQ=-44.34  loss=374.77
episode 186 : step=60  reward=-273.0 aveQ=-89.81  loss=382.29
episode 187 : step=32  reward=-26.0 aveQ=+14.78  loss=358.74
episode 188 : step=42  reward=-129.0 aveQ=-60.10  loss=359.22
episode 189 : step=70  reward=-370.0 aveQ=-98.21  loss=363.49
episode 190 : step=72  reward=-106.0 aveQ=-11.11  loss=340.03
episode 191 : step=20  reward=-30.0 aveQ=-17.38  loss=302.01
episode 192 : step=70  reward=-303.0 aveQ=-95.18  loss=335.59
episode 193 : step=48  reward=-53.0 aveQ=-1.60   loss=350.70
episode 194 : step=24  reward=-35.0 aveQ=-22.72  loss=317.39
episode 195 : step=64  reward=-103.0 aveQ=+0.99   loss=308.25
episode 196 : step=35  reward=-121.0 aveQ=-44.40  loss=359.86
episode 197 : step=64  reward=-151.0 aveQ=-23.87  loss=309.48
episode 198 : step=64  reward=-46.0 aveQ=+8.51   loss=412.10
episode 199 : step=20  reward=-34.0 aveQ=-20.02  loss=237.74
episode 200 : step=128 reward=-299.0 aveQ=-27.58  loss=279.27
episode 201 : step=72  reward=-123.0 aveQ=+2.70   loss=269.48
episode 202 : step=48  reward=-71.0 aveQ=-13.31  loss=295.19
episode 203 : step=64  reward=-100.0 aveQ=-12.29  loss=260.89
episode 204 : step=64  reward=-66.0 aveQ=-2.23   loss=240.42
episode 205 : step=96  reward=-207.0 aveQ=-52.16  loss=223.54
episode 206 : step=70  reward=-275.0 aveQ=-116.72 loss=221.91
episode 207 : step=20  reward=-39.0 aveQ=-25.38  loss=201.86
episode 208 : step=70  reward=-323.0 aveQ=-118.42 loss=207.52
episode 209 : step=96  reward=-181.0 aveQ=-69.22  loss=209.61
episode 210 : step=60  reward=-244.0 aveQ=-106.14 loss=221.34
episode 211 : step=28  reward=-46.0 aveQ=-43.51  loss=199.46
episode 212 : step=24  reward=-44.0 aveQ=-37.42  loss=188.07
episode 213 : step=96  reward=-197.0 aveQ=-76.99  loss=184.47
episode 214 : step=49  reward=-122.0 aveQ=-82.39  loss=200.30
episode 215 : step=35  reward=-98.0 aveQ=-58.26  loss=182.74
episode 216 : step=96  reward=-139.0 aveQ=-54.21  loss=164.63
episode 217 : step=48  reward=-43.0 aveQ=-29.63  loss=148.71
episode 218 : step=64  reward=-110.0 aveQ=-60.06  loss=135.52
episode 219 : step=70  reward=-289.0 aveQ=-127.75 loss=128.43
episode 220 : step=64  reward=-102.0 aveQ=-61.80  loss=125.00
episode 221 : step=42  reward=-131.0 aveQ=-75.28  loss=124.30
episode 222 : step=32  reward=-27.0 aveQ=-6.03   loss=117.95
episode 223 : step=96  reward=-106.0 aveQ=-60.16  loss=108.32
episode 224 : step=35  reward=-128.0 aveQ=-61.57  loss=107.82
episode 225 : step=49  reward=-114.0 aveQ=-88.26  loss=92.00
episode 226 : step=70  reward=-293.0 aveQ=-127.11 loss=95.44
episode 227 : step=72  reward=-140.0 aveQ=-61.75  loss=99.44
episode 228 : step=50  reward=-203.0 aveQ=-86.88  loss=104.15
episode 229 : step=48  reward=-43.0 aveQ=-16.20  loss=77.27
episode 230 : step=128 reward=-263.0 aveQ=-113.47 loss=77.53
episode 231 : step=64  reward=-87.0 aveQ=-42.89  loss=74.55
episode 232 : step=70  reward=-255.0 aveQ=-125.90 loss=70.81
episode 233 : step=64  reward=-61.0 aveQ=-54.10  loss=59.56
episode 234 : step=96  reward=-247.0 aveQ=-123.26 loss=64.86
episode 235 : step=35  reward=-126.0 aveQ=-59.42  loss=63.64
episode 236 : step=48  reward=-119.0 aveQ=-52.91  loss=65.05
episode 237 : step=70  reward=-292.0 aveQ=-135.42 loss=54.74
episode 238 : step=72  reward=-88.0 aveQ=-64.34  loss=49.86
episode 239 : step=72  reward=-109.0 aveQ=-69.21  loss=47.91
episode 240 : step=24  reward=-26.0 aveQ=-32.71  loss=48.48
episode 241 : step=20  reward=-25.0 aveQ=-25.25  loss=44.49
episode 242 : step=35  reward=-129.0 aveQ=-60.21  loss=41.13
episode 243 : step=24  reward=-30.0 aveQ=-33.12  loss=42.14
episode 244 : step=128 reward=-181.0 aveQ=-117.82 loss=44.98
episode 245 : step=48  reward=-49.0 aveQ=-36.34  loss=51.20
episode 246 : step=64  reward=-78.0 aveQ=-53.40  loss=57.07
episode 247 : step=24  reward=-29.0 aveQ=-34.02  loss=42.16
episode 248 : step=35  reward=-95.0 aveQ=-61.43  loss=40.73
episode 249 : step=64  reward=-72.0 aveQ=-45.92  loss=52.55
episode 250 : step=64  reward=-149.0 aveQ=-65.02  loss=43.17
episode 251 : step=48  reward=-91.0 aveQ=-49.39  loss=41.36
episode 252 : step=48  reward=-80.0 aveQ=-45.55  loss=37.36
episode 253 : step=32  reward=-27.0 aveQ=-23.77  loss=42.12
episode 254 : step=72  reward=-130.0 aveQ=-76.26  loss=40.57
episode 255 : step=28  reward=-31.0 aveQ=-41.32  loss=45.14
episode 256 : step=20  reward=-27.0 aveQ=-29.58  loss=45.49
episode 257 : step=24  reward=-38.0 aveQ=-35.23  loss=41.42
episode 258 : step=20  reward=-21.0 aveQ=-26.79  loss=37.99
episode 259 : step=35  reward=-76.0 aveQ=-57.88  loss=54.50
episode 260 : step=60  reward=-158.0 aveQ=-103.70 loss=37.51
episode 261 : step=42  reward=-86.0 aveQ=-70.42  loss=40.09
episode 262 : step=28  reward=-42.0 aveQ=-43.19  loss=42.72
episode 263 : step=96  reward=-263.0 aveQ=-100.54 loss=44.42
episode 264 : step=70  reward=-168.0 aveQ=-123.37 loss=51.65
episode 265 : step=64  reward=-137.0 aveQ=-66.67  loss=32.79
episode 266 : step=49  reward=-111.0 aveQ=-86.30  loss=33.03
episode 267 : step=28  reward=-30.0 aveQ=-39.15  loss=32.69
episode 268 : step=60  reward=-108.0 aveQ=-101.97 loss=35.41
episode 269 : step=128 reward=-468.0 aveQ=-124.86 loss=39.77
episode 270 : step=32  reward=-75.0 aveQ=-28.88  loss=32.70
episode 271 : step=42  reward=-98.0 aveQ=-68.91  loss=30.03
episode 272 : step=50  reward=-104.0 aveQ=-82.01  loss=31.22
episode 273 : step=32  reward=-40.0 aveQ=-27.11  loss=30.76
episode 274 : step=48  reward=-86.0 aveQ=-40.70  loss=32.77
episode 275 : step=24  reward=-31.0 aveQ=-31.05  loss=46.24
episode 276 : step=50  reward=-179.0 aveQ=-86.42  loss=31.82
episode 277 : step=48  reward=-49.0 aveQ=-31.25  loss=33.68
episode 278 : step=32  reward=-37.0 aveQ=-20.00  loss=29.74
episode 279 : step=42  reward=-65.0 aveQ=-64.04  loss=29.46
episode 280 : step=70  reward=-138.0 aveQ=-114.99 loss=28.76
episode 281 : step=96  reward=-326.0 aveQ=-87.85  loss=54.71
episode 282 : step=96  reward=-191.0 aveQ=-67.49  loss=36.14
episode 283 : step=49  reward=-89.0 aveQ=-69.38  loss=27.85
episode 284 : step=96  reward=-513.0 aveQ=-92.47  loss=32.59
episode 285 : step=70  reward=-205.0 aveQ=-114.49 loss=32.49
episode 286 : step=64  reward=-164.0 aveQ=-68.10  loss=34.81
episode 287 : step=64  reward=-106.0 aveQ=-42.15  loss=30.83
episode 288 : step=64  reward=-126.0 aveQ=-63.46  loss=36.65
episode 289 : step=64  reward=-84.0 aveQ=-56.21  loss=28.74
episode 290 : step=35  reward=-50.0 aveQ=-47.13  loss=31.54
episode 291 : step=96  reward=-226.0 aveQ=-71.30  loss=30.63
episode 292 : step=64  reward=-183.0 aveQ=-51.79  loss=29.73
episode 293 : step=49  reward=-94.0 aveQ=-71.84  loss=34.24
episode 294 : step=64  reward=-119.0 aveQ=-61.86  loss=30.40
episode 295 : step=48  reward=-43.0 aveQ=-35.03  loss=34.08
episode 296 : step=49  reward=-91.0 aveQ=-68.69  loss=23.04
episode 297 : step=42  reward=-78.0 aveQ=-53.29  loss=29.79
episode 298 : step=28  reward=-45.0 aveQ=-21.99  loss=28.87
episode 299 : step=48  reward=-115.0 aveQ=-41.77  loss=29.38
episode 300 : step=48  reward=-38.0 aveQ=-35.04  loss=36.53
episode 301 : step=49  reward=-88.0 aveQ=-64.61  loss=53.55
episode 302 : step=48  reward=-109.0 aveQ=-37.63  loss=45.19
episode 303 : step=32  reward=-20.0 aveQ=-12.89  loss=30.00
episode 304 : step=96  reward=-318.0 aveQ=-104.86 loss=37.97
episode 305 : step=96  reward=-156.0 aveQ=-82.95  loss=31.83
episode 306 : step=72  reward=-114.0 aveQ=-53.01  loss=35.37
episode 307 : step=42  reward=-60.0 aveQ=-47.34  loss=30.71
episode 308 : step=64  reward=-90.0 aveQ=-42.07  loss=38.26
episode 309 : step=60  reward=-117.0 aveQ=-84.51  loss=46.40
episode 310 : step=48  reward=-99.0 aveQ=-29.44  loss=32.55
episode 311 : step=32  reward=-34.0 aveQ=-10.26  loss=31.59
episode 312 : step=96  reward=-179.0 aveQ=-85.99  loss=32.16
episode 313 : step=24  reward=-35.0 aveQ=-9.43   loss=30.18
episode 314 : step=48  reward=-54.0 aveQ=-22.90  loss=36.81
episode 315 : step=64  reward=-136.0 aveQ=-48.16  loss=30.69
episode 316 : step=49  reward=-109.0 aveQ=-51.53  loss=30.26
episode 317 : step=28  reward=-36.0 aveQ=-14.41  loss=32.35
episode 318 : step=70  reward=-189.0 aveQ=-95.40  loss=40.53
episode 319 : step=72  reward=-162.0 aveQ=-53.84  loss=53.67
episode 320 : step=35  reward=-75.0 aveQ=-40.59  loss=29.59
episode 321 : step=42  reward=-85.0 aveQ=-40.61  loss=46.36
episode 322 : step=64  reward=-137.0 aveQ=-54.36  loss=38.99
episode 323 : step=60  reward=-126.0 aveQ=-74.30  loss=31.68
episode 324 : step=50  reward=-95.0 aveQ=-63.46  loss=32.95
episode 325 : step=70  reward=-209.0 aveQ=-102.79 loss=34.42
episode 326 : step=96  reward=-315.0 aveQ=-93.11  loss=35.59
episode 327 : step=32  reward=-35.0 aveQ=-6.77   loss=34.73
episode 328 : step=28  reward=-58.0 aveQ=-3.19   loss=35.22
episode 329 : step=32  reward=-27.0 aveQ=-7.51   loss=35.82
episode 330 : step=49  reward=-110.0 aveQ=-47.45  loss=37.60
episode 331 : step=42  reward=-84.0 aveQ=-43.87  loss=44.21
episode 332 : step=96  reward=-236.0 aveQ=-78.50  loss=36.47
episode 333 : step=70  reward=-159.0 aveQ=-89.14  loss=35.06
episode 334 : step=50  reward=-79.0 aveQ=-57.23  loss=33.16
episode 335 : step=96  reward=-191.0 aveQ=-67.55  loss=35.91
episode 336 : step=32  reward=-38.0 aveQ=-5.17   loss=42.38
episode 337 : step=24  reward=-37.0 aveQ=-4.35   loss=43.99
episode 338 : step=70  reward=-241.0 aveQ=-87.42  loss=43.84
episode 339 : step=20  reward=-27.0 aveQ=-4.24   loss=38.03
episode 340 : step=20  reward=-30.0 aveQ=-0.47   loss=43.86
episode 341 : step=28  reward=-53.0 aveQ=+0.64   loss=40.42
episode 342 : step=20  reward=-25.0 aveQ=-1.23   loss=32.61
episode 343 : step=32  reward=-22.0 aveQ=-1.81   loss=43.22
episode 344 : step=70  reward=-177.0 aveQ=-80.21  loss=42.63
episode 345 : step=24  reward=-39.0 aveQ=+0.33   loss=35.37
episode 346 : step=50  reward=-99.0 aveQ=-59.08  loss=36.76
episode 347 : step=128 reward=-462.0 aveQ=-137.89 loss=47.58
episode 348 : step=70  reward=-206.0 aveQ=-80.17  loss=38.45
episode 349 : step=64  reward=-105.0 aveQ=-40.18  loss=37.85
episode 350 : step=49  reward=-105.0 aveQ=-36.22  loss=54.68
episode 351 : step=28  reward=-54.0 aveQ=-8.01   loss=33.65
episode 352 : step=42  reward=-79.0 aveQ=-35.20  loss=40.63
episode 353 : step=50  reward=-86.0 aveQ=-59.22  loss=74.18
episode 354 : step=72  reward=-245.0 aveQ=-70.66  loss=38.96
episode 355 : step=32  reward=-29.0 aveQ=-4.12   loss=43.38
episode 356 : step=35  reward=-60.0 aveQ=-33.12  loss=40.21
episode 357 : step=35  reward=-71.0 aveQ=-36.38  loss=53.90
episode 358 : step=72  reward=-203.0 aveQ=-67.05  loss=40.54
episode 359 : step=96  reward=-332.0 aveQ=-105.47 loss=39.01
episode 360 : step=70  reward=-232.0 aveQ=-80.35  loss=40.88
episode 361 : step=70  reward=-219.0 aveQ=-76.70  loss=41.92
episode 362 : step=64  reward=-174.0 aveQ=-48.48  loss=39.89
episode 363 : step=72  reward=-564.0 aveQ=-86.84  loss=48.19
episode 364 : step=48  reward=-105.0 aveQ=-28.19  loss=57.04
episode 365 : step=28  reward=-37.0 aveQ=-4.65   loss=47.56
episode 366 : step=70  reward=-227.0 aveQ=-75.69  loss=53.82
episode 367 : step=48  reward=-64.0 aveQ=-26.69  loss=48.49
episode 368 : step=42  reward=-62.0 aveQ=-37.63  loss=50.29
episode 369 : step=48  reward=-93.0 aveQ=-36.73  loss=44.16
episode 370 : step=128 reward=-835.0 aveQ=-171.10 loss=65.22
episode 371 : step=64  reward=-255.0 aveQ=-66.39  loss=52.93
episode 372 : step=20  reward=-35.0 aveQ=-2.51   loss=47.07
episode 373 : step=72  reward=-84.0 aveQ=-44.37  loss=55.14
episode 374 : step=96  reward=-137.0 aveQ=-75.13  loss=51.39
episode 375 : step=96  reward=-261.0 aveQ=-90.25  loss=54.72
episode 376 : step=64  reward=-291.0 aveQ=-72.41  loss=54.64
episode 377 : step=35  reward=-70.0 aveQ=-35.15  loss=52.18
episode 378 : step=48  reward=-143.0 aveQ=-45.12  loss=50.50
episode 379 : step=24  reward=-45.0 aveQ=-8.81   loss=46.96
episode 380 : step=64  reward=-231.0 aveQ=-71.11  loss=46.81
episode 381 : step=96  reward=-197.0 aveQ=-95.52  loss=54.92
episode 382 : step=50  reward=-99.0 aveQ=-65.60  loss=64.28
episode 383 : step=32  reward=-18.0 aveQ=-8.99   loss=50.27
episode 384 : step=60  reward=-189.0 aveQ=-81.76  loss=99.98
episode 385 : step=48  reward=-40.0 aveQ=-27.17  loss=59.00
episode 386 : step=72  reward=-162.0 aveQ=-76.99  loss=63.86
episode 387 : step=20  reward=-37.0 aveQ=-3.83   loss=62.84
