total number of analysis:290344 
total number of analysis until best:201332 
top-scored iteration: 3470 

Microsoft Windows [Version 10.0.22000.613]
(c) Microsoft Corporation. All rights reserved.

C:\Users\dream\Documents\Research\RL_Construction\20220428>python Train.py
C:\Users\dream\anaconda3\lib\site-packages\torch\nn\init.py:388: UserWarning: Initializing zero-element tensors is a no-op
  warnings.warn("Initializing zero-element tensors is a no-op")
episode 0   : step=64  reward=-602.0 aveQ=-0.40   loss=nan
episode 1   : step=96  reward=-826.0 aveQ=-21.77  loss=441.45
episode 2   : step=128 reward=-2259.0 aveQ=-53.20  loss=559.63
episode 3   : step=42  reward=-266.0 aveQ=-34.68  loss=746.29
episode 4   : step=42  reward=-275.0 aveQ=-45.83  loss=258.24
episode 5   : step=48  reward=-340.0 aveQ=-55.11  loss=374.38
episode 6   : step=48  reward=-358.0 aveQ=-78.26  loss=178.55
episode 7   : step=20  reward=-60.0 aveQ=-35.87  loss=96.85
episode 8   : step=48  reward=-336.0 aveQ=-78.63  loss=287.75
episode 9   : step=70  reward=-677.0 aveQ=-125.74 loss=220.45
episode 10  : step=35  reward=-189.0 aveQ=-77.87  loss=405.02
episode 11  : step=42  reward=-253.0 aveQ=-96.76  loss=288.10
episode 12  : step=50  reward=-346.0 aveQ=-114.77 loss=494.49
episode 13  : step=48  reward=-335.0 aveQ=-120.89 loss=342.42
episode 14  : step=64  reward=-646.0 aveQ=-208.71 loss=466.33
episode 15  : step=28  reward=-117.0 aveQ=-99.70  loss=492.99
episode 16  : step=48  reward=-149.0 aveQ=-83.78  loss=690.53
episode 17  : step=72  reward=-463.0 aveQ=-114.00 loss=644.24
episode 18  : step=96  reward=-1206.0 aveQ=-161.83 loss=731.36
episode 19  : step=96  reward=-1107.0 aveQ=-181.34 loss=840.58
episode 20  : step=60  reward=-528.0 aveQ=-129.37 loss=832.10
episode 21  : step=48  reward=-306.0 aveQ=-110.53 loss=934.67
episode 22  : step=64  reward=-534.0 aveQ=-150.01 loss=845.25
episode 23  : step=128 reward=-2064.0 aveQ=-263.97 loss=918.66
episode 24  : step=48  reward=-307.0 aveQ=-127.19 loss=1033.34
episode 25  : step=70  reward=-698.0 aveQ=-177.29 loss=1079.86
episode 26  : step=42  reward=-247.0 aveQ=-119.73 loss=1019.92
episode 27  : step=60  reward=-537.0 aveQ=-158.91 loss=913.10
episode 28  : step=48  reward=-303.0 aveQ=-155.22 loss=1007.14
episode 29  : step=128 reward=-1808.0 aveQ=-323.74 loss=991.38
episode 30  : step=28  reward=-91.0 aveQ=-117.36 loss=1114.26
episode 31  : step=64  reward=-487.0 aveQ=-177.87 loss=1187.10
episode 32  : step=49  reward=-310.0 aveQ=-154.91 loss=1220.37
episode 33  : step=128 reward=-1606.0 aveQ=-366.83 loss=1137.70
episode 34  : step=32  reward=-156.0 aveQ=-144.01 loss=1289.08
episode 35  : step=50  reward=-378.0 aveQ=-176.92 loss=1013.07
episode 36  : step=64  reward=-385.0 aveQ=-241.55 loss=1002.57
episode 37  : step=64  reward=-473.0 aveQ=-262.11 loss=982.22
episode 38  : step=96  reward=-997.0 aveQ=-358.36 loss=954.07
episode 39  : step=42  reward=-261.0 aveQ=-169.52 loss=903.62
episode 40  : step=24  reward=-79.0 aveQ=-108.96 loss=1038.74
episode 41  : step=32  reward=-109.0 aveQ=-151.79 loss=751.14
episode 42  : step=48  reward=-280.0 aveQ=-210.53 loss=916.62
episode 43  : step=128 reward=-1709.0 aveQ=-429.71 loss=932.76
episode 44  : step=128 reward=-1648.0 aveQ=-425.52 loss=940.47
episode 45  : step=48  reward=-313.0 aveQ=-211.11 loss=914.82
episode 46  : step=35  reward=-178.0 aveQ=-138.81 loss=785.38
episode 47  : step=20  reward=-60.0 aveQ=-84.88  loss=908.85
episode 48  : step=35  reward=-182.0 aveQ=-139.33 loss=1008.30
episode 49  : step=42  reward=-237.0 aveQ=-174.87 loss=909.82
episode 50  : step=60  reward=-549.0 aveQ=-225.79 loss=877.48
episode 51  : step=35  reward=-177.0 aveQ=-143.65 loss=783.35
episode 52  : step=64  reward=-419.0 aveQ=-254.92 loss=1017.16
episode 53  : step=20  reward=-56.0 aveQ=-83.28  loss=823.60
episode 54  : step=96  reward=-770.0 aveQ=-343.47 loss=783.93
episode 55  : step=64  reward=-563.0 aveQ=-252.44 loss=830.89
episode 56  : step=60  reward=-459.0 aveQ=-224.80 loss=831.53
episode 57  : step=49  reward=-294.0 aveQ=-203.41 loss=761.12
episode 58  : step=96  reward=-404.0 aveQ=-314.34 loss=743.86
episode 59  : step=24  reward=-75.0 aveQ=-103.57 loss=874.16
episode 60  : step=35  reward=-188.0 aveQ=-133.90 loss=937.89
episode 61  : step=70  reward=-615.0 aveQ=-260.25 loss=707.53
episode 62  : step=128 reward=-610.0 aveQ=-350.17 loss=728.56
episode 63  : step=128 reward=-401.0 aveQ=-303.59 loss=727.67
episode 64  : step=48  reward=-132.0 aveQ=-156.89 loss=779.86
episode 65  : step=72  reward=-168.0 aveQ=-198.41 loss=605.48
episode 66  : step=72  reward=-206.0 aveQ=-235.35 loss=651.83
episode 67  : step=32  reward=-60.0 aveQ=-112.81 loss=831.60
episode 68  : step=32  reward=-151.0 aveQ=-143.97 loss=632.43
episode 69  : step=96  reward=-193.0 aveQ=-239.92 loss=674.67
episode 70  : step=72  reward=-122.0 aveQ=-206.22 loss=656.03
episode 71  : step=35  reward=-117.0 aveQ=-116.19 loss=806.78
episode 72  : step=50  reward=-247.0 aveQ=-171.15 loss=653.15
episode 73  : step=128 reward=-317.0 aveQ=-351.27 loss=593.69
episode 74  : step=48  reward=-90.0 aveQ=-162.64 loss=591.55
episode 75  : step=42  reward=-191.0 aveQ=-147.07 loss=590.95
episode 76  : step=72  reward=-127.0 aveQ=-209.17 loss=588.59
episode 77  : step=96  reward=-168.0 aveQ=-276.94 loss=618.36
episode 78  : step=64  reward=-120.0 aveQ=-204.44 loss=578.01
episode 79  : step=24  reward=-60.0 aveQ=-99.53  loss=643.44
episode 80  : step=128 reward=-283.0 aveQ=-360.00 loss=575.96
episode 81  : step=96  reward=-166.0 aveQ=-255.74 loss=651.14
episode 82  : step=72  reward=-160.0 aveQ=-207.55 loss=680.56
episode 83  : step=35  reward=-137.0 aveQ=-104.52 loss=608.89
episode 84  : step=48  reward=-75.0 aveQ=-123.82 loss=685.28
episode 85  : step=48  reward=-85.0 aveQ=-129.17 loss=569.81
episode 86  : step=64  reward=-113.0 aveQ=-155.64 loss=600.91
episode 87  : step=24  reward=-31.0 aveQ=-68.21  loss=595.77
episode 88  : step=24  reward=-70.0 aveQ=-61.66  loss=637.39
episode 89  : step=28  reward=-36.0 aveQ=-79.55  loss=586.11
episode 90  : step=64  reward=-100.0 aveQ=-144.19 loss=645.00
episode 91  : step=42  reward=-177.0 aveQ=-104.31 loss=558.23
